NGI Sample ID	Well	Your sample name	Index category	Index number
P14756_1001	A:1	PbFertility1_1	Custom	1
P14756_1002	A:1	PbFertility1_2	Custom	2
P14756_1003	A:1	PbFertility1_3	Custom	3
P14756_1004	A:1	PbFertility1_4	Custom	4
P14756_1005	A:1	PbFertility1_5	Custom	5
P14756_1006	A:1	PbFertility1_6	Custom	6
P14756_1007	A:1	PbFertility1_7	Custom	7
P14756_1008	A:1	PbFertility1_8	Custom	8
P14756_1009	A:1	PbFertility1_9	Custom	9
P14756_1010	A:1	PbFertility1_10	Custom	10
P14756_1011	A:1	PbFertility1_11	Custom	11
P14756_1012	A:1	PbFertility1_12	Custom	12
P14756_1013	A:1	PbFertility1_13	Custom	13
P14756_1014	A:1	PbFertility1_14	Custom	14
P14756_1015	A:1	PbFertility1_15	Custom	15
P14756_1016	A:1	PbFertility1_16	Custom	16
P14756_1017	A:1	PbFertility1_17	Custom	17
P14756_1018	A:1	PbFertility1_18	Custom	18
P14756_1019	A:1	PbFertility1_19	Custom	19
P14756_1020	A:1	PbFertility1_20	Custom	20
P14756_1021	A:1	PbFertility1_21	Custom	21
P14756_1022	A:1	PbFertility1_22	Custom	22
P14756_1023	A:1	PbFertility1_23	Custom	23
P14756_1024	A:1	PbFertility1_24	Custom	24
P14756_1025	A:1	PbFertility1_25	Custom	25
P14756_1026	A:1	PbFertility1_26	Custom	26
P14756_1027	A:1	PbFertility1_27	Custom	27
P14756_1028	A:1	PbFertility1_28	Custom	28
P14756_1029	A:1	PbFertility1_29	Custom	29
P14756_1030	A:1	PbFertility1_30	Custom	30
P14756_1031	A:1	PbFertility1_31	Custom	31
P14756_1032	A:1	PbFertility1_32	Custom	32
P14756_1033	A:1	PbFertility1_33	Custom	33
P14756_1034	A:1	PbFertility1_34	Custom	34
P14756_1035	A:1	PbFertility1_35	Custom	35
P14756_1036	A:1	PbFertility1_36	Custom	36
P14756_1037	A:1	PbFertility1_37	Custom	37
P14756_1038	A:1	PbFertility1_38	Custom	38
P14756_1039	A:1	PbFertility1_39	Custom	39
P14756_1040	A:1	PbFertility1_40	Custom	40
P14756_1041	A:1	PbFertility1_41	Custom	41
P14756_1042	A:1	PbFertility1_42	Custom	42
P14756_1043	A:1	PbFertility1_43	Custom	43
P14756_1044	A:1	PbFertility1_44	Custom	44
P14756_1045	A:1	PbFertility1_45	Custom	45
P14756_1046	A:1	PbFertility1_46	Custom	46
P14756_1047	A:1	PbFertility1_47	Custom	47
P14756_1048	A:1	PbFertility1_48	Custom	48
